file,line,column,rule,severity,message
packages/core/src/agent-loop.ts,198,38,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/agent-loop.ts,199,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/compaction.ts,228,31,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/kernel/compaction.ts,229,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/json.ts,14,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/json.ts,18,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/json.ts,18,39,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/json.ts,22,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/json.ts,44,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/json.ts,54,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/activation.ts,93,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/snapshot.ts,33,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/snapshot.ts,36,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/snapshot.ts,38,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/snapshot.ts,39,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/snapshot.ts,40,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/snapshot.ts,41,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/sdk/snapshot.ts,46,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/step.ts,414,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/turn.ts,410,43,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/kernel/turn.ts,411,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/turn.ts,573,31,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/kernel/turn.ts,574,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/turn.ts,577,32,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/kernel/turn.ts,582,7,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/turn.ts,585,9,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/turn.ts,591,7,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/turn.ts,593,7,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/turn.ts,600,42,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/kernel/turn.ts,609,62,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/views/changes.ts,31,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/views/presentation.ts,82,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/views/presentation.ts,86,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/views/presentation.ts,86,39,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/kernel/views/presentation.ts,86,68,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/plugins/hooks.ts,137,14,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/plugins/sources.ts,20,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
